Job No,Job Name,Chargeable,Billing Basis,Job Group,First Booked,Last Booked,Total Hours,Last Fully Billed Date,Override Billing Basis
2502,ONS CBA (non-chargeable),Non-chargeable,Non-chargeable,Support,2024-07-01,2026-07-24,153.33,,
2503,ONS DTTL (non-chargeable),Non-chargeable,Non-chargeable,Support,2024-07-04,2026-08-07,543.22,,
2505,ONS PWC (non-chargeable),Non-chargeable,Non-chargeable,Support,2024-07-01,2026-08-17,287.67,,
2506,ONS BWEST (non-chargeable),Non-chargeable,Non-chargeable,Support,2024-07-03,2026-08-17,199.33,,
2521,PWC - PER Tech,Chargeable,Recurring,Support,2024-07-01,2026-05-25,704.5,,
2540,PWC - SYD Tech,Chargeable,Recurring,Support,2024-07-05,2026-06-11,705.25,,
2543,DTTL MEL Tech (part-time) [SA],Chargeable,Recurring,Support,2024-07-01,2025-02-03,646.24,,
2593,PWC CBR Technician [ONS],Chargeable,Recurring,Support,2024-07-01,2024-11-08,782.0,,
2598,DTTL WA Tech,Chargeable,Recurring,Support,2024-07-01,2026-02-26,2881.0,,
2645,EY SYD Tech Support,Chargeable,Recurring,Support,2024-07-22,2025-11-20,376.25,,
2648,DTTL MEL Additional Tech,Chargeable,Recurring,Support,2025-01-06,2025-10-24,90.5,,
2658,EY MELB Tech,Chargeable,Recurring,Support,2024-07-08,2024-08-21,164.0,,
2675,ONS EY (non-chargeable),Non-chargeable,Non-chargeable,Support,2024-07-15,2025-11-13,85.0,,
2726,KPMG MEL Tech,Chargeable,Recurring,Support,2024-08-27,2024-09-17,32.25,,
2756,CTS Management Meetings,Non-chargeable,Non-chargeable,CTS,2024-07-01,2026-08-18,1123.33,,
2834,APA Young - Visitor Mgmt [INT],Chargeable,Recurring,Integration,2026-07-24,2026-08-04,2.0,,
2838,KPMG SYD Tech [ONS],Chargeable,Recurring,Support,2024-07-01,2025-05-06,102.25,,
2846,DTTL National STL,Chargeable,Recurring,Support,2024-07-01,2026-07-22,3670.14,,
2849,DTTL SYD Internal [HK],Chargeable,Recurring,Support,2024-07-03,2026-08-21,2231.25,,
2872,DTTL Canberra 2023,Non-chargeable,Non-chargeable,Support,2024-11-15,2024-11-15,52.78,,
2877,DEWR Maintenance Extension,Chargeable,Recurring,Consulting,2024-07-01,2025-04-11,96.75,,
2879,ONS Ricoh - QANTAS (non-chargeable),Non-chargeable,Non-chargeable,Support,2024-07-16,2026-08-04,153.0,,
2880,Ricoh - QANTAS [ONS],Chargeable,Recurring,Support,2024-07-01,2026-08-21,4750.91,,
2882,TLC Events 2023 [PROD],Chargeable,Recurring,Production,2024-08-19,2024-09-02,9.75,,
2883,DFA Forum,Chargeable,Recurring,Consulting,2024-07-04,2024-08-06,7.25,,
2892,JP Morgan Onsite Tech,Chargeable,Recurring,Support,2024-09-13,2025-06-06,455.75,,
2896,ONS KPMG (non-chargable),Non-chargeable,Non-chargeable,Support,2024-07-04,2024-10-18,26.0,,
2897,ONS JPM (non-chargeable),Non-chargeable,Non-chargeable,Support,2024-12-12,2025-05-08,17.75,,
2900,ONS Ammacus-Woolworths (non-chargeable),Non-chargeable,Non-chargeable,Support,2024-07-18,2025-09-12,28.0,,
2902,CBA AGM 2024,Chargeable,Recurring,Production,2024-07-04,2024-12-20,607.25,,
2906,KPMG BNE Tech,Chargeable,Recurring,Support,2024-08-13,2025-09-23,42.75,,
2907,Ammacus-Woolworths AV Tech [ONS],Chargeable,Recurring,Support,2024-07-04,2025-09-30,2521.0,,
2912,AGL Events 2024 [PRD],Chargeable,Recurring,Production,2024-07-04,2025-01-09,65.75,,
2913,APA Events 2024 [PRD],Chargeable,Recurring,Production,2024-07-08,2024-12-18,79.75,,
2915,ASX Events 2024 [PRD],Chargeable,Recurring,Production,2024-07-01,2024-12-20,450.75,,
2917,Bankwest Events 2024 [PRD],Chargeable,Recurring,Production,2024-08-12,2024-08-20,3.5,,
2918,CBA Events 2024 [PRD],Chargeable,Recurring,Production,2024-07-24,2024-12-16,85.5,,
2919,CBA Live Event Support 2024 [PRD],Chargeable,Recurring,Production,2024-07-04,2024-12-17,456.25,,
2920,CEOi Events 2024 [PRD],Chargeable,Recurring,Production,2024-07-11,2025-01-09,35.5,,
2921,Chorus Call Events 2024 [PRD],Chargeable,Recurring,Production,2024-08-07,2024-11-25,142.0,,
2923,Cochlear Events 2024 [PRD],Chargeable,Recurring,Production,2024-08-05,2024-10-25,94.25,,
2924,Dimensional Events 2024 [PRD],Chargeable,Recurring,Production,2024-08-22,2024-08-22,0.25,,
2926,Downer Events 2024 (PRD),Chargeable,Recurring,Production,2024-07-09,2024-11-20,71.25,,
2927,DTTL Events 2024 [PRD],Chargeable,Recurring,Production,2024-08-22,2024-08-22,6.5,,
2928,Garvan Events 2024 [PRD],Chargeable,Recurring,Production,2024-07-03,2024-12-09,52.5,,
2929,GPT Events 2024 [PRD],Chargeable,Recurring,Production,2024-07-09,2024-08-19,22.0,,
2931,Landers & Rogers Events 2024 [PRD],Chargeable,Recurring,Production,2024-08-01,2024-08-01,6.5,,
2932,LINK Season 1 2024 (PRD),Chargeable,Recurring,Production,2024-07-01,2024-09-06,89.25,,
2933,LINK Season 2 2024 (PRD),Chargeable,Recurring,Production,2024-07-22,2025-01-14,1284.25,,
2934,Loghic Events 2024 (PRD),Chargeable,Recurring,Production,2024-08-16,2024-11-19,25.5,,
2935,M&C Saatchi Events 2024 [PRD],Chargeable,Recurring,Production,2024-08-08,2024-08-08,14.75,,
2936,EY Events 2024 (VID),Chargeable,Recurring,Production,2024-08-07,2024-08-07,0.5,,
2937,CBA VID 2024,Chargeable,Recurring,Production,2024-10-10,2024-10-10,5.25,,
2940,Notified Events 2024 [PROD],Chargeable,Recurring,Production,2024-08-02,2024-12-12,53.25,,
2942,NSWPH Events 2024 [PRD],Chargeable,Recurring,Production,2024-08-09,2024-12-11,150.25,,
2944,OC Events 2024 [PRD],Chargeable,Recurring,Production,2024-08-13,2024-12-19,541.25,,
2945,ON24 Events 2024 [PRD],Chargeable,Recurring,Production,2024-08-07,2025-01-09,42.75,,
2949,RSNSW Events 2024 (VID),Chargeable,Recurring,Video,2024-12-04,2024-12-04,5.25,,
2951,PWC Events 2024 [PRD],Chargeable,Recurring,Production,2024-07-22,2024-12-04,137.5,,
2955,RSNSW Events 2024 [PRD],Chargeable,Recurring,Production,2024-08-07,2024-12-04,26.75,,
2958,TLC Events 2024 [PRD],Chargeable,Recurring,Production,2024-07-11,2025-01-06,39.5,,
2960,Ventia AGM 2024 [PRD],Chargeable,Recurring,Production,2024-09-02,2024-09-02,2.5,,
2961,Ventia Events 2024 [PRD],Chargeable,Recurring,Production,2024-07-09,2024-12-12,123.0,,
2963,ASX Refinitiv Events 2024 [VID],Chargeable,Recurring,Production,2024-07-04,2024-11-29,57.5,,
2964,AGL Events 2024 [VID],Chargeable,Recurring,Production,2024-08-14,2024-08-15,18.5,,
2965,APA Events 2024 [VID],Chargeable,Recurring,Production,2024-08-27,2024-08-27,8.0,,
2967,ASX Events 2024 [VID],Chargeable,Recurring,Production,2024-08-12,2024-11-25,49.0,,
2968,ASX VID 2024,Chargeable,Recurring,Production,2024-07-05,2024-12-20,111.0,,
2971,CBA Events 2024 [VID],Chargeable,Recurring,Production,2024-12-17,2024-12-17,6.5,,
2972,CBA Live Event Support 2024 [VID],Chargeable,Recurring,Production,2024-07-01,2024-12-12,67.75,,
2973,CEOi Events 2024 (VID),Chargeable,Recurring,Production,2024-07-03,2024-08-16,63.5,,
2975,Chorus Call Events 2024 [VID],Chargeable,Recurring,Video,2024-11-21,2024-11-25,13.0,,
2976,Cochlear Events 2024 [VID],Chargeable,Recurring,Video,2024-10-23,2024-11-14,30.75,,
2977,St Catherine's School [Cons],Chargeable,Recurring,Consulting,2024-07-02,2025-05-06,43.5,,
2978,Box Sales 2024 [INT],Chargeable,Recurring,Consulting,2024-07-15,2024-12-10,13.0,,
2980,Downer Events 2024 [VID],Chargeable,Recurring,Production,2024-11-20,2024-11-20,8.0,,
2992,NSWPH Events 2024 [VID],Chargeable,Recurring,Video,2024-12-02,2024-12-18,31.5,,
2994,OC Events 2024 [VID],Chargeable,Recurring,Production,2024-08-16,2024-12-03,135.75,,
2995,ON24 Events 2024 [VID],Chargeable,Recurring,Production,2024-09-10,2024-09-10,6.0,,
3001,PWC Events 2024 [VID],Chargeable,Recurring,Production,2024-07-16,2024-12-04,91.75,,
3005,CBA ADL Visit 2024,Chargeable,Recurring,Support,2024-10-22,2024-10-22,1.0,,
3009,Westpac 2024 [VID],Chargeable,Recurring,Production,2024-07-18,2024-11-20,149.25,,
3014,ONS Ricoh/Campari (Chargeable),Chargeable,Recurring,Support,2024-09-04,2025-03-21,12.0,,
3015,ONS Ricoh/Campari (Non Chgble),Non-chargeable,Non-chargeable,Support,2025-03-19,2025-03-25,1.5,,
3016,ONS KPMG/Melb (Chargeable),Chargeable,Recurring,Support,2024-08-23,2024-08-23,8.0,,
3018,EY BNE Tech 2024 [Onsite],Chargeable,Recurring,Support,2024-07-30,2025-03-20,23.5,,
3019,DIVERSIFIED - IWC Events [PROD],Chargeable,Recurring,Production,2024-08-13,2024-12-03,44.5,,
3020,St Luke's 2024 [INT],Chargeable,Recurring,Production,2024-09-13,2024-09-14,8.0,,
3024,Optiver Events (PRD),Chargeable,Recurring,Production,2024-12-11,2024-12-11,2.5,,
3025,Corrivium Events (PRD),Chargeable,Recurring,Production,2024-11-14,2024-12-06,21.25,,
3027,DPIE Elizabeth St Desk Booking,Chargeable,Recurring,Consulting,2024-07-30,2025-04-16,18.0,,
3028,APA Kidman Park VMS [INT],Chargeable,Recurring,Consulting,2024-09-17,2026-07-16,4.08,,
3029,DAFF Standards Update [CONS],Chargeable,Recurring,Consulting,2024-07-11,2024-11-01,23.75,,
3030,Boral Events 2024 [PROD],Chargeable,Recurring,Production,2024-07-04,2024-07-04,2.0,,
3031,Boral Events 2024 [VID],Chargeable,Recurring,Production,2024-07-01,2024-07-01,1.0,,
3034,ARUP ONS (non-chargeable),Non-chargeable,Non-chargeable,Support,2024-07-09,2026-02-20,12.5,,
3035,ARUP ONS National (Chargeable),Chargeable,Recurring,Support,2024-10-10,2025-04-01,15.25,,
3036,Thermo Fisher Events [PRD],Chargeable,Recurring,Production,2024-07-15,2024-08-02,37.75,,
3038,Danebank AMX Panel [INT],Chargeable,Recurring,Integration,2024-11-26,2024-11-26,0.5,,
3040,Corrs MELB Office Reloc [CONS],Chargeable,Recurring,Consulting,2024-07-29,2025-11-07,543.5,,
3041,Stone&Chalk Audit [CONS],Chargeable,Recurring,Consulting,2024-08-05,2025-11-06,29.5,,
3042,Corrs-Perth Office Relocation,Chargeable,Recurring,Consulting,2024-08-19,2024-08-28,7.25,,
3044,EY Events 2024 [PROD],Chargeable,Recurring,Production,2024-08-29,2024-10-15,33.25,,
3046,ONS Stone&Chalk [chargeable],Chargeable,Recurring,Support,2024-09-24,2025-12-15,133.75,,
3047,ONS Stone&Chalk [non-chargeable],Non-chargeable,Non-chargeable,Support,2024-09-25,2025-11-18,23.5,,
3048,Stone & Chalk Audit 2 [CONS],Chargeable,Recurring,Consulting,2024-10-10,2024-11-08,9.5,,
3049,St Luke's 2024 [PRD],Chargeable,Recurring,Production,2024-12-07,2024-12-07,10.75,,
3050,LSEG 2024 [VID],Chargeable,Recurring,Video,2024-11-06,2024-12-20,24.75,,
3051,Harry the Hirer 2024 (PRD),Chargeable,Recurring,Production,2024-10-29,2024-10-31,83.25,,
3052,Harry the Hirer 2024 (VID),Chargeable,Recurring,Video,2024-10-30,2024-10-30,3.5,,
3054,UoW Training Video [VID],Chargeable,Recurring,Video,2025-05-19,2025-06-17,42.75,,
3055,3Ys Owls Events 2024 [PROD],Non-chargeable,Non-chargeable,Production,2024-10-22,2024-10-25,8.75,,
3056,Aus PayNet Onsite [Chargeable],Chargeable,Recurring,Support,2024-12-03,2026-07-22,35.5,,
3057,Aus PayNet [Non-Chargeable],Non-chargeable,Non-chargeable,Support,2024-10-25,2026-07-27,15.1,,
3059,CBA AGM 2025 [PRD],Chargeable,Recurring,Production,2024-11-06,2025-12-12,614.75,,
3061,St. Catherine Events [PRD],Chargeable,Recurring,Production,2024-12-04,2024-12-05,9.0,,
3068,Pitt St&Penrith Booking [CONS],Chargeable,Recurring,Integration,2025-01-16,2025-02-12,2.75,,
3070,Market Meter Events [PROD],Non-chargeable,Non-chargeable,Production,2024-11-25,2024-12-04,17.75,,
3076,Oak Corporate Affairs [VID],Chargeable,Recurring,Video,2024-12-11,2024-12-11,5.0,,
3077,LINK season 1 2025 (PRD),Chargeable,Recurring,Production,2025-01-15,2025-05-13,162.75,,
9000,OFFICE / ADMIN,Non-chargeable,Non-chargeable,CTS,2024-07-01,2026-08-21,19515.45,,
9100,PRODUCTION (excl VIDEO),Non-chargeable,Non-chargeable,Production,2024-07-01,2026-08-21,14841.73,,
9102,Production - Training [PRD],Non-chargeable,Non-chargeable,Production,2025-07-03,2026-08-04,246.83,,
9105,ONSITE (including PRD backup),Non-chargeable,Non-chargeable,Support,2024-07-01,2026-08-20,3231.63,,
9108,ONSITE - Sales,Non-chargeable,Non-chargeable,Support,2024-07-11,2026-08-13,155.08,,
9109,ONSITE - Marketing [ONS],Non-chargeable,Non-chargeable,Support,2025-04-01,2025-04-01,3.0,,
9125,VIDEO DEPT,Non-chargeable,Non-chargeable,Production,2024-07-01,2026-08-21,2321.27,,
9128,VIDEO - Sales,Non-chargeable,Non-chargeable,Production,2024-07-04,2026-08-21,63.92,,
9129,VIDEO - Marketing,Non-chargeable,Non-chargeable,Production,2024-09-30,2026-07-29,62.25,,
9175,PRODUCTION - Sales,Non-chargeable,Non-chargeable,Production,2024-07-04,2026-08-03,360.5,,
9176,Production - Marketing,Non-chargeable,Non-chargeable,Production,2024-07-23,2024-09-06,6.25,,
9200,INTEGRATION,Non-chargeable,Non-chargeable,Consulting,2024-07-01,2026-08-21,86.92,,
9202,INTEGRATION - Quotes,Non-chargeable,Non-chargeable,Consulting,2024-07-01,2026-08-21,435.75,,
9225,Integration - SALES,Non-chargeable,Non-chargeable,Consulting,2024-07-02,2026-08-14,77.0,,
9300,HUMAN RESOURCES,Non-chargeable,Non-chargeable,CTS,2024-07-01,2026-08-18,1011.47,,
9301,Recruitment,Non-chargeable,Non-chargeable,CTS,2024-07-04,2026-01-27,362.25,,
9350,MARKETING (external),Non-chargeable,Non-chargeable,CTS,2024-07-03,2026-08-18,122.87,,
9375,MARKETING / COMMS (Internal),Non-chargeable,Non-chargeable,CTS,2024-07-22,2026-07-30,75.59,,
9400,CONSULTING,Non-chargeable,Non-chargeable,Consulting,2024-07-01,2026-08-20,4773.07,,
9403,CONSULTING - Sales,Non-chargeable,Non-chargeable,Consulting,2024-07-01,2026-08-05,312.08,,
9405,CONSULTING - Marketing [CONS],Non-chargeable,Non-chargeable,Consulting,2025-08-04,2026-08-10,8.83,,
9407,CONSULTING - Training,Non-chargeable,Non-chargeable,Consulting,2024-07-08,2024-10-02,27.0,,
250228,CBA Live Event Support Feb2025 [PRD],Chargeable,Project,Production,2025-02-03,2025-04-01,136.25,,
250315,St Catherine's Events [PRD],Chargeable,Project,Production,2025-05-13,2025-05-14,25.25,,
250331,CBA LES MAR2025 [PRD],Chargeable,Project,Production,2025-03-10,2025-03-27,46.0,,
250430,CBA LES APR2025 [PRD],Chargeable,Project,Production,2025-03-24,2025-04-15,26.5,,
250516,UoW Training Video [VID],Chargeable,Project,Video,2025-05-07,2025-05-16,28.25,,
250802,CTS Day 2025 [CTS],Non-chargeable,Non-chargeable,CTS,2025-07-04,2025-11-11,112.5,,
2407312,Hills Grammar Performance Centre [CONS],Chargeable,Project,Consulting,2025-03-14,2025-06-18,16.25,,
2412901,CEO Summit 2025 [PRD],Chargeable,Project,Production,2025-01-28,2025-01-31,66.75,,
2501640,ASX HY25 Financial Results [PRD],Chargeable,Project,Production,2025-01-29,2025-08-13,77.25,,
2501641,ASX Investor Forum JUN25 [PRD],Chargeable,Project,Production,2025-06-10,2025-06-13,62.0,,
2501643,Ventia Town Hall [PRD],Chargeable,Project,Production,2025-01-24,2025-03-20,60.75,,
2501644,ASX AGM 2025 [PRD],Chargeable,Project,Production,2025-10-16,2025-11-04,124.0,,
2501720,ASX SMID Conf Hybrid 24.09.2025 [PRD],Chargeable,Project,Production,2025-09-23,2025-10-01,55.25,,
2501725,OC Suncorp Results - Brisbane [PRD],Chargeable,Project,Production,2025-01-29,2025-02-25,79.0,,
2501726,CBA HY25 Results Announcement [PRD],Chargeable,Project,Production,2025-02-11,2025-03-13,12.25,,
2501727,AGL Half Year Results & Employee Town Hall [PRD},Chargeable,Project,Production,2025-01-29,2025-08-13,73.0,,
2501729,Downer Half Year Results [PRD],Chargeable,Project,Production,2025-02-06,2025-02-13,16.5,,
2501730,ON24 Astellas Studio Event [PRD],Chargeable,Project,Production,2025-02-05,2025-07-09,6.5,,
2501731,GPT HY25 Results Announcement [PRD],Chargeable,Project,Production,2025-02-06,2025-02-17,26.25,,
2501732,Cochlear HY25 Results Announcement [PRD],Chargeable,Project,Production,2025-02-14,2025-02-14,0.5,,
2501733,OC SGF bSAS [PRD],Chargeable,Project,Production,2025-02-18,2025-02-18,3.25,,
2501734,TLC HY25 Results Briefing [PRD],Chargeable,Project,Production,2025-02-18,2025-02-19,10.0,,
2501735,Aristocrat AGM 2025 [PRD],Chargeable,Project,Production,2025-02-06,2025-02-20,65.25,,
2501736,Ventia Full Year Results [PRD],Chargeable,Project,Production,2025-01-31,2025-02-19,29.5,,
2501737,APA Staff Town Hall [PRD],Chargeable,Project,Production,2025-02-07,2025-02-24,19.25,,
2501738,APA HY25 IR Briefing [PRD],Chargeable,Project,Production,2025-02-07,2025-08-20,35.5,,
2501739,IWC dedicated Technician [PRD],Chargeable,Project,Production,2025-02-18,2025-02-18,6.25,,
2501740,OC PPM bSAS [PRD],Chargeable,Project,Production,2025-02-27,2025-02-27,3.75,,
2501742,ASX TNF Conference [PRD],Chargeable,Project,Production,2025-03-03,2025-03-27,55.25,,
2502301,ON24 KWM Sydney Stream [PRD],Chargeable,Project,Production,2025-02-27,2025-03-13,6.25,,
2502303,Westpac Virtual Shoot [VID],Chargeable,Project,Video,2025-02-03,2025-03-14,37.25,,
2502401,Dimensional Audio Operator [PRD],Chargeable,Project,Production,2025-01-29,2025-07-24,30.0,,
2502601,Stone & Chalk AV Support - Sydney [ONS],Chargeable,Project,Support,2025-02-17,2025-02-17,8.0,,
2502801,RSNSW Ordinary General Meeting [PRD],Chargeable,Project,Production,2025-02-05,2025-06-04,33.25,,
2502802,OSG Perfect Pitch [PRD],Chargeable,Project,Production,2025-01-31,2025-03-11,39.0,,
2502803,Downer Half Year Employee Briefing [PRD},Chargeable,Project,Production,2025-02-17,2025-02-18,13.0,,
2503501,PwC NSP - High Priority [INT],Chargeable,Project,Integration,2025-06-16,2025-06-16,0.0,,
2503602,OC SGF bSAS MARCH25 [PRD],Chargeable,Project,Production,2025-04-08,2025-04-08,8.25,,
2503603,ASX Company Secretary Briefing [PRD],Chargeable,Project,Production,2025-03-19,2025-08-20,9.0,,
2504402,Garvan NECTA Conference [PRD],Chargeable,Project,Production,2025-03-27,2025-03-28,12.0,,
2504801,Garvan Dedi Tech APR25 [PRD],Chargeable,Project,Production,2025-04-10,2025-05-12,21.25,,
2504901,APA PER Staff Briefing [PRD],Chargeable,Project,Production,2025-05-05,2025-05-07,16.75,,
2505201,DTTL Partner Conference [PRD],Chargeable,Project,Production,2025-05-05,2025-05-05,4.0,,
2505202,Ventia BNE Town Hall [PRD],Chargeable,Project,Production,2025-05-09,2025-05-15,16.25,,
2505901,COS Projector Lens Supply[INT],Chargeable,Project,Integration,2026-05-22,2026-05-22,0.5,,
2505902,ASX CHESS R/ment MAY2025 [PRD],Chargeable,Project,Production,2025-05-12,2025-05-21,2.5,,
2506201,ASX CHESS R/ment JUN25 [PRD],Chargeable,Project,Production,2025-06-02,2025-06-04,8.25,,
2506203,ASX FIA Forum JUN25 [PRD],Chargeable,Project,Production,2025-06-04,2025-06-04,10.0,,
2506204,ASX CEO Connect JUN25 [PRD],Chargeable,Project,Production,2025-06-03,2025-06-03,14.5,,
2506207,CEO Institute CEO Connect 6.8.25 [PRD],Chargeable,Project,Production,2025-08-04,2026-01-29,48.5,,
2506208,CBA AGM 2026 [PRD],Chargeable,Project,Production,2025-06-04,2026-08-21,80.75,,
2506303,ASX Business Comm JUN25 [PRD],Chargeable,Project,Production,2025-06-17,2025-06-18,27.5,,
2506304,Ventia NZ Town Hall JUN25[PRD],Chargeable,Project,Production,2025-06-16,2025-06-20,25.75,,
2506308,CBA LES JUN25 [PRD],Chargeable,Project,Production,2025-06-02,2025-06-25,126.25,,
2506310,APA All Hands Staff [PRD],Chargeable,Project,Production,2025-06-12,2025-06-13,40.25,,
2506402,Elkiem Studio Event - 10 &amp; 11.9.25 [PRD],Chargeable,Project,Production,2025-09-09,2025-09-11,9.5,,
2507102,CBA LES - August 2025 [PRD],Chargeable,Project,Production,2025-08-06,2025-08-28,68.5,,
2507105,Downer FY Results Brief 21.8.25 [PRD],Chargeable,Project,Production,2025-08-20,2025-08-21,18.75,,
2507106,AGL CTAP Webcast Melb 21.8.25 [PRD],Chargeable,Project,Production,2025-08-15,2025-08-21,16.0,,
2507107,Downer Full Year Staff Brief - 26.08.25 [PRD],Chargeable,Project,Production,2025-08-22,2025-08-26,16.0,,
2507108,Symal Financial Results 26.08.25 [PRD],Chargeable,Project,Production,2025-08-25,2025-08-26,14.0,,
2507203,Hills Grammar Airmedia Supply [INT],Chargeable,Project,Integration,2025-12-09,2026-02-09,0.75,,
2507701,APA Town Hall 8.7.25 [PRD],Chargeable,Project,Production,2025-07-08,2025-07-08,2.75,,
2507802,Automic Group HUB24 AGM 20.11.25 [PRD],Chargeable,Project,Production,2025-11-06,2025-11-20,20.0,,
2508401,PWC Studio Event 31.07.2025 [PRD],Chargeable,Project,Production,2025-07-31,2025-07-31,16.75,,
2508601,Woke Announcement [PRD],Chargeable,Project,Production,2025-08-11,2025-08-12,6.25,,
2508701,Remondis Boardroom Acoustic Testing [CONS],Chargeable,Project,Consulting,2025-10-09,2025-10-13,2.0,,
2508702,Garvan Curran Library Event 21.08.2025 [PRD],Chargeable,Project,Production,2025-08-21,2025-08-21,9.25,,
2508703,Dimensional Audio Operator [PRD],Chargeable,Project,Production,2025-08-05,2025-08-05,4.25,,
2508802,CBA - Screen Hire 08 - 15.08.2025 [PRD],Chargeable,Project,Production,2025-08-22,2025-08-22,0.75,,
2509103,CBA LES October 2025 [PRD],Chargeable,Project,Production,2025-10-14,2025-10-30,78.5,,
2509502,CBA LES - September 2025 [PRD],Chargeable,Project,Production,2025-09-04,2025-09-24,64.5,,
2510202,HP Poly Room Assessment [CONS],Chargeable,Project,Consulting,2025-10-30,2025-12-10,14.5,,
2510203,ASX Investor Day Shoot/Edit - 21.10.25 [VID],Chargeable,Project,Video,2025-10-21,2025-11-18,51.75,,
2510204,Chorus Call Nanosonics AGM 5.11.25 [PRD],Chargeable,Project,Production,2025-11-04,2025-11-05,31.5,,
2510206,Noumi AGM 6.11.25 [PRD],Chargeable,Project,Production,2025-10-15,2025-11-06,38.0,,
2510208,ASX Investor Day Tech Syd & Melb 8.11 and 15.11 [PRD],Chargeable,Project,Production,2025-11-07,2025-11-15,4.25,,
2510209,Orient Capital NXT AGM - 13.11.25 [PRD],Chargeable,Project,Production,2025-11-12,2025-11-13,62.0,,
2510210,Scentre Group Westfield Bondi Screen Tests [CONS],Chargeable,Project,Consulting,2026-01-11,2026-01-29,13.5,,
2510701,Cochlear AGM 23.10.25 [PRD],Chargeable,Project,Production,2025-10-09,2025-10-23,139.25,,
2510702,PWC Studio Event 5.11.25 [PRD],Chargeable,Project,Production,2025-11-05,2025-11-05,16.5,,
2510703,PwC Future of Finance 6.11.2025 [PRD],Chargeable,Project,Production,2025-11-06,2025-11-06,15.25,,
2510704,ASX CHESS Replace Comm 5.11.25 [PRD],Chargeable,Project,Production,2025-11-05,2025-11-05,5.25,,
2510705,Chorus Call Regal Partners AGM 18.11.25 [PRD],Chargeable,Project,Production,2025-11-18,2025-11-18,16.0,,
2510706,PWC Tax Briefing 18.11.25 [PRD],Chargeable,Project,Production,2025-11-18,2025-11-18,16.0,,
2510707,Elkiem Event Workshop 20-21.11.25 [PRD],Chargeable,Project,Production,2025-11-19,2025-11-21,8.75,,
2510708,MUFG Evolution EVN AGM - 20.11.25 [PRD],Chargeable,Project,Production,2025-11-20,2025-11-20,4.5,,
2510801,Chorus Call QUBE Holdings AGM - 20.11.25 [PRD],Chargeable,Project,Production,2025-11-11,2025-11-20,47.5,,
2510802,Chorus Call Integrated Res AGM 24.11.25 [PRD],Chargeable,Project,Production,2025-11-24,2025-11-24,12.5,,
2510804,CommSecurity Presynct QLD Desk Booking [INT],Chargeable,Project,Integration,2025-11-05,2025-11-05,0.5,,
2511101,Touchpoint Poly CCX400 modification [INT],Chargeable,Project,Integration,2026-01-28,2026-01-28,0.0,,
2511701,PWC Studio Event 17.12.25 [PRD],Chargeable,Project,Production,2025-12-17,2025-12-17,11.5,,
